075 870 428 00444,Mallet,10003,apple,kg,317,9410,2021-02-10 15:42:40,US
941 389 892 00031,Baudry,10001,wheat,kg,83,2208,2021-02-11 07:07:19,BE
762 315 380 00391,Ferreira,10003,apple,kg,378,2730,2021-02-10 12:43:37,FR
797 278 365 00469,Normand Leleu S.A.R.L.,xxxxx,unknow,x,80,7964,2021-02-10 22:19:41,DE
334 632 465 00290,Evrard Lebrun SARL,10003,apple,kg,212,4521,2021-02-10 03:07:01,CN
075 870 428 00444,Mallet,10003,apple,kg,236,2825,2021-02-09 18:16:49,UK
783 882 859 00191,Carlier Bourdon S.A.S.,10004,ham,kg,96,3053,2021-02-10 01:49:38,IT
473 342 374 00127,Pereira,10005,milk,l,14,9097,2021-02-09 19:18:39,DE
322 416 912 00734,Leblanc Daniel SARL,10004,ham,kg,197,5574,2021-02-11 03:51:34,CN
563 349 662 00067,Leconte,10002,orange juice,l,409,3343,2021-02-10 02:07:44,DE
261 583 130 00792,Royer,xxxxx,unknow,x,128,3711,2021-02-11 12:33:02,FR
473 342 374 00127,Pereira,10002,orange juice,l,219,6058,2021-02-11 13:40:13,ES
315 456 243 00215,Bernier,10003,apple,kg,241,2425,2021-02-10 15:49:13,FR
075 870 428 00444,Mallet,10003,apple,kg,385,9102,2021-02-10 21:47:32,IT
315 456 243 00215,Bernier,10005,milk,l,92,1122,2021-02-10 07:05:29,UK
163 503 838 00964,Barre,10005,milk,l,208,6211,2021-02-11 01:40:35,BE
967 064 379 00184,Girard,10003,apple,kg,483,3175,2021-02-10 08:12:36,FR
640 621 482 00425,Fernandez,xxxxx,unknow,x,226,6263,2021-02-11 01:19:04,US
216 937 893 00544,Lucas SARL,10004,ham,kg,249,4618,2021-02-10 05:39:43,IT
836 696 177 00584,Le Roux Briand SA,10002,orange juice,l,462,7788,2021-02-11 14:32:11,FR
369 680 656 00281,Barthelemy,10005,milk,l,391,8051,2021-02-11 05:02:23,ES
499 545 110 00842,Legrand S.A.R.L.,10004,ham,kg,16,2775,2021-02-11 02:44:04,CN
322 416 912 00734,Leblanc Daniel SARL,xxxxx,unknow,x,103,4100,2021-02-10 06:32:30,WW
499 545 110 00842,Legrand S.A.R.L.,xxxxx,unknow,x,444,9085,2021-02-11 07:26:13,DE
764 972 915 00271,Marchal Robert et Fils,xxxxx,unknow,x,330,4406,2021-02-10 13:38:56,DE
681 165 571 00538,Delahaye S.A.S.,10004,ham,kg,369,7179,2021-02-10 21:01:53,ES
967 064 379 00184,Girard,10004,ham,kg,133,5034,2021-02-10 11:07:55,BE
248 200 823 00720,Leduc Faure S.A.,10003,apple,kg,493,8123,2021-02-09 17:52:38,ES
026 675 215 00807,Bourgeois et Fils,10004,ham,kg,59,3110,2021-02-10 13:19:52,FR
614 082 573 00264,Maury Bodin et Fils,10005,milk,l,462,8203,2021-02-11 05:02:26,ES
759 779 851 00508,Boulanger S.A.,10003,apple,kg,142,9480,2021-02-10 01:48:07,IT
629 502 769 00393,Maurice SA,xxxxx,unknow,x,306,5950,2021-02-10 20:36:03,BE
128 115 243 00001,Bonneau,10005,milk,l,471,4007,2021-02-10 10:59:29,BE
916 672 734 00867,Maury Marques SARL,10004,ham,kg,328,2890,2021-02-11 11:25:35,DE
645 381 473 00701,Dupuy Millet S.A.,xxxxx,unknow,x,20,3536,2021-02-10 18:24:40,UK
640 621 482 00425,Fernandez,10002,orange juice,l,349,4547,2021-02-10 14:24:56,IT
927 176 578 00075,Lemonnier,10005,milk,l,390,4212,2021-02-10 11:27:24,CN
536 608 923 00548,Thibault et Fils,10004,ham,kg,371,5020,2021-02-10 03:16:25,FR
586 580 772 00222,Chartier,10005,milk,l,394,8891,2021-02-10 00:29:14,IT
563 349 662 00067,Leconte,10001,wheat,kg,467,2337,2021-02-09 15:54:30,ES
199 546 191 00365,Maillard,10004,ham,kg,128,7432,2021-02-10 03:44:39,US
454 065 173 00205,Labbe,10005,milk,l,417,4228,2021-02-10 11:14:13,IT
898 684 269 00237,Blondel,10005,milk,l,415,8834,2021-02-11 10:47:44,DE
681 165 571 00538,Delahaye S.A.S.,10003,apple,kg,48,2578,2021-02-10 21:45:04,FR
276 326 608 00734,Hernandez,10005,milk,l,439,8291,2021-02-10 21:28:11,FR
163 503 838 00964,Barre,10005,milk,l,480,3136,2021-02-11 03:39:46,UK
454 065 173 00205,Labbe,10002,orange juice,l,124,3963,2021-02-10 13:03:03,WW
898 684 269 00237,Blondel,10003,apple,kg,58,9165,2021-02-10 01:26:30,FR
286 362 018 00169,Fleury,10004,ham,kg,386,1344,2021-02-10 19:38:56,DE
536 608 923 00548,Thibault et Fils,10001,wheat,kg,194,9330,2021-02-10 03:20:55,UK
596 969 515 00537,Allain Hoarau S.A.,10002,orange juice,l,96,4248,2021-02-10 13:11:30,IT
629 502 769 00393,Maurice SA,10001,wheat,kg,294,8843,2021-02-10 02:17:05,BE
322 416 912 00734,Leblanc Daniel SARL,10003,apple,kg,468,8291,2021-02-10 17:51:13,US
060 354 430 00940,Gonzalez Moreau et Fils,10005,milk,l,402,8567,2021-02-10 16:53:31,IT
