689 368 718 00273,Brun,10001,wheat,kg,428,2271,2021-02-09 20:55:48,US
645 212 343 00953,Turpin Alves SA,10005,milk,l,86,8216,2021-02-10 11:27:18,US
665 879 360 00523,Valette Marion S.A.,10002,orange juice,l,144,7936,2021-02-10 13:27:59,ES
676 578 897 00831,Lemaitre Gaillard SARL,10005,milk,l,301,9897,2021-02-10 14:41:40,IT
733 736 272 00083,Roussel,xxxxx,unknow,x,235,6259,2021-02-10 16:30:47,FR
426 976 372 00576,Renard,10001,wheat,kg,168,5155,2021-02-09 17:02:17,IT
546 340 476 00531,Caron Gauthier S.A.S.,xxxxx,unknow,x,378,4923,2021-02-11 09:39:12,IT
467 133 511 00652,Joly Meunier S.A.S.,10002,orange juice,l,71,4964,2021-02-11 04:03:58,CN
989 950 604 00101,Teixeira,10002,orange juice,l,234,2244,2021-02-11 06:36:55,DE
467 133 511 00652,Joly Meunier S.A.S.,10004,ham,kg,425,2463,2021-02-09 16:09:28,UK
675 431 958 00367,Chretien SA,xxxxx,unknow,x,195,7765,2021-02-09 22:48:29,IT
121 455 561 00917,Aubry Mendes SA,xxxxx,unknow,x,331,2239,2021-02-09 20:43:01,WW
675 431 958 00367,Chretien SA,10001,wheat,kg,268,5577,2021-02-10 11:22:13,US
702 293 855 00180,Perrin,10002,orange juice,l,183,2480,2021-02-11 04:23:06,DE
291 739 395 00718,Renard Legros SARL,10001,wheat,kg,421,7053,2021-02-11 09:53:07,WW
675 431 958 00367,Chretien SA,10001,wheat,kg,142,4556,2021-02-11 02:59:58,WW
546 340 476 00531,Caron Gauthier S.A.S.,10003,apple,kg,15,8486,2021-02-11 11:34:02,UK
702 293 855 00180,Perrin,10003,apple,kg,86,6127,2021-02-10 02:20:58,IT
054 059 505 00902,Gimenez SA,10004,ham,kg,223,8625,2021-02-11 02:50:20,UK
905 025 035 00981,Labbe SA,xxxxx,unknow,x,313,5430,2021-02-10 15:12:09,US
532 196 645 00990,Wagner et Fils,10005,milk,l,417,6694,2021-02-11 00:26:29,CN
276 639 433 00012,Rossi,10005,milk,l,334,6555,2021-02-09 16:56:22,WW
291 739 395 00718,Renard Legros SARL,10003,apple,kg,175,1587,2021-02-10 22:16:18,DE
009 238 144 00142,Giraud,10003,apple,kg,375,4818,2021-02-09 16:53:48,US
005 360 158 00323,Vasseur,10004,ham,kg,449,9779,2021-02-10 12:48:20,ES
005 664 081 00181,Jacques,10002,orange juice,l,402,3020,2021-02-10 19:32:30,US
936 892 291 00509,Noel,10005,milk,l,427,7123,2021-02-09 22:29:07,IT
307 472 535 00137,Muller Becker S.A.,xxxxx,unknow,x,345,4458,2021-02-10 02:12:09,DE
926 290 141 00666,Chartier,10003,apple,kg,323,8057,2021-02-10 02:06:09,CN
